Field 0,Field 1,Field 2
0.1102961254,0,0.0242679775
0.1109517125,0,0.0242679775
0.1116071715,0,0.0242679775
0.1122625022,0,0.0242679775
0.1129177046,0,0.0242679775
0.1135727785,0,0.0242679775
0.114227724,0,0.0242679775
0.1148825408,0,0.0242679775
0.115537229,0,0.0242679775
0.1161917886,0,0.0242679775
0.1168462194,0,0.0242679775
0.1175005214,0,0.0242679775
0.1181546945,0,0.0242679775
0.1188087387,0,0.0242679775
0.1194626538,0,0.0242679775
0.1201164397,0,0.0242679775
0.1207700962,0,0.0242679775
0.121423623,0,0.0242679775
0.1220770199,0,0.0242679775
0.1227302864,0,0.0242679775
0.1233834225,0,0.0242679775
0.1240364278,0,0.0242679775
0.1246893025,0,0.0242679775
0.1253420467,0,0.0242679775
0.1259946606,0,0.0242679775
0.1261051739,0,0.0242679775
0.1267576358,0,0.0242679775
0.1274099677,0,0.0242679775
0.1280621699,0,0.0242679775
0.1287142427,0,0.0242679775
0.1293661864,0,0.0242679775
0.1300180014,0,0.0242679775
0.130669688,0,0.0242679775
0.1313212465,0,0.0242679775
0.1319726775,0,0.0242679775
0.1326239815,0,0.0242679775
0.133275159,0,0.0242679775
0.1339262108,0,0.0242679775
0.1345771373,0,0.0242679775
0.1352279388,0,0.0242679775
0.1358784718,0,0.0242679775
0.1365286879,0,0.0242679775
0.1371698679,0,0.0242679775
0.1378194561,0,0.0242679775
0.1384687291,0,0.0242679775
0.1391176873,0,0.0242679775
0.1397663313,0,0.0242679775
0.1404146618,0,0.0242679775
0.1410626793,0,0.0242679775
0.1417103845,0,0.0242679775
0.1423577779,0,0.0242679775
0.1430048604,0,0.0242679775
0.1436516326,0,0.0242679775
0.1442980954,0,0.0242679775
0.1449442493,0,0.0242679775
0.1455900954,0,0.0242679775
0.1462356345,0,0.0242679775
0.1468808675,0,0.0242679775
0.1475257954,0,0.0242679775
0.1481704192,0,0.0242679775
0.1488147399,0,0.0242679775
0.1494587586,0,0.0242679775
0.1501024767,0,0.0242679775
0.1507458951,0,0.0242679775
0.1513890153,0,0.0242679775
0.1515312462,0,0.0242679775
0.152174004,0,0.0242679775
0.1528164665,0,0.0242679775
0.1534586354,0,0.0242679775
0.1541005119,0,0.0242679775
0.1547420978,0,0.0242679775
0.1553833946,0,0.0242679775
0.156024404,0,0.0242679775
0.1566460872,0,0.0242679775
0.1572865355,0,0.0242679775
0.1579267016,0,0.0242679775
0.1585665874,0,0.0242679775
0.1592061948,0,0.0242679775
0.1598455257,0,0.0242679775
0.1604845821,0,0.0242679775
0.1611233659,0,0.0242679775
0.1617618792,0,0.0242679775
0.1624001239,0,0.0242679775
